"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2019 EE1)","2019-Mar-12 00:34 ± < 00:01","14.21 | 0.03652","14.16 | 0.03638","9.07","9.07","26.1","16 m -   36 m","bK19E01E"
"(2019 EO2)","2019-Mar-12 21:25 ± < 00:01","7.07 | 0.01817","7.05 | 0.01812","12.64","12.63","23.5","53 m -  120 m","bK19E02O"
"(2019 DJ1)","2019-Mar-12 22:20 ± < 00:01","4.04 | 0.01037","4.04 | 0.01037","3.81","3.74","26.8","12 m -   26 m","bK19D01J"
"(2012 VZ19)","2019-Mar-13 06:24 ± 3_15:33","7.71 | 0.01982","7.60 | 0.01952","8.04","8.02","25.6","20 m -   45 m","bK12V19Z"
"(2019 EN2)","2019-Mar-13 23:38 ± < 00:01","0.86 | 0.00221","0.86 | 0.00221","9.83","9.70","27.6","8.0 m -   18 m","bK19E02N"
"(2019 FD)","2019-Mar-14 17:23 ± < 00:01","8.58 | 0.02205","8.58 | 0.02204","7.78","7.76","23.3","58 m -  130 m","bK19F00D"
"(2019 EF2)","2019-Mar-14 19:03 ± < 00:01","4.48 | 0.01152","4.48 | 0.01150","8.47","8.44","25.8","18 m -   41 m","bK19E02F"
"(2019 FC)","2019-Mar-15 03:23 ± < 00:01","3.62 | 0.00931","3.61 | 0.00928","25.85","25.84","24.1","40 m -   90 m","bK19F00C"
"(2019 FB)","2019-Mar-15 04:05 ± < 00:01","2.97 | 0.00764","2.97 | 0.00762","8.78","8.74","25.9","18 m -   39 m","bK19F00B"
"(2019 FE)","2019-Mar-15 23:31 ± < 00:01","1.70 | 0.00438","1.70 | 0.00438","9.89","9.83","24.1","40 m -   90 m","bK19F00E"
"(2019 FA)","2019-Mar-16 01:14 ± < 00:01","0.60 | 0.00154","0.60 | 0.00154","6.04","5.75","28.7","4.8 m -   11 m","bK19F00A"
"(2019 ES)","2019-Mar-16 07:43 ± < 00:01","9.01 | 0.02316","8.98 | 0.02307","7.00","6.99","25.4","22 m -   49 m","bK19E00S"
"(2019 DH1)","2019-Mar-18 11:08 ± < 00:01","8.52 | 0.02190","8.50 | 0.02183","5.02","5.00","26.2","15 m -   34 m","bK19D01H"
"(2019 CL2)","2019-Mar-18 17:34 ± < 00:01","10.17 | 0.02614","10.17 | 0.02614","7.54","7.52","23.3","58 m -  130 m","bK19C02L"
"(2019 FO)","2019-Mar-19 23:23 ± < 00:01","6.64 | 0.01707","6.63 | 0.01703","8.12","8.10","24.7","31 m -   68 m","bK19F00O"
"(2019 CD5)","2019-Mar-20 09:03 ± < 00:01","10.11 | 0.02597","10.11 | 0.02597","17.03","17.02","22.0","110 m -  240 m","bK19C05D"
"(2019 ES2)","2019-Mar-20 10:54 ± < 00:01","7.61 | 0.01955","7.55 | 0.01940","6.92","6.90","25.9","18 m -   39 m","bK19E02S"
"(2019 FY1)","2019-Mar-20 23:02 ±    00:02","6.51 | 0.01673","6.48 | 0.01666","3.13","3.08","28.2","6.1 m -   14 m","bK19F01Y"
"(2019 DS)","2019-Mar-21 07:58 ± < 00:01","17.28 | 0.04441","17.21 | 0.04422","8.89","8.88","24.9","28 m -   62 m","bK19D00S"
"(2019 EA2)","2019-Mar-22 01:53 ± < 00:01","0.80 | 0.00205","0.80 | 0.00204","5.37","5.12","25.8","18 m -   41 m","bK19E02A"
"(2019 FL)","2019-Mar-22 07:25 ± < 00:01","12.35 | 0.03174","12.31 | 0.03163","11.94","11.93","24.2","38 m -   86 m","bK19F00L"
"(2019 FT1)","2019-Mar-22 20:06 ± < 00:01","6.45 | 0.01658","6.43 | 0.01653","10.79","10.78","27.0","11 m -   24 m","bK19F01T"
"(2019 FP)","2019-Mar-23 01:32 ± < 00:01","3.64 | 0.00936","3.62 | 0.00931","12.06","12.03","26.2","15 m -   34 m","bK19F00P"
"(2019 FO2)","2019-Mar-23 04:12 ±    00:02","10.82 | 0.02781","10.76 | 0.02765","8.90","8.89","26.0","17 m -   38 m","bK19F02O"
"(2019 FF)","2019-Mar-23 15:21 ±    00:05","3.14 | 0.00808","3.13 | 0.00805","8.64","8.60","26.3","15 m -   33 m","bK19F00F"
"(2019 EK2)","2019-Mar-23 17:27 ±    00:10","4.72 | 0.01214","4.60 | 0.01181","8.08","8.05","27.5","8.4 m -   19 m","bK19E02K"
"(2019 FQ)","2019-Mar-23 18:17 ± < 00:01","0.86 | 0.00220","0.86 | 0.00220","8.47","8.32","27.1","10 m -   23 m","bK19F00Q"
"(2019 GE20)","2019-Mar-24 06:03 ±    00:09","13.53 | 0.03477","13.39 | 0.03442","12.88","12.87","24.6","32 m -   71 m","bK19G20E"
"(2019 GF3)","2019-Mar-24 11:35 ±    00:17","12.59 | 0.03234","12.42 | 0.03191","29.23","29.23","24.0","42 m -   94 m","bK19G03F"
"(2019 ER2)","2019-Mar-25 04:53 ± < 00:01","8.88 | 0.02281","8.86 | 0.02276","4.75","4.73","25.9","18 m -   39 m","bK19E02R"
"(2019 FX1)","2019-Mar-25 06:10 ±    00:11","1.45 | 0.00374","1.45 | 0.00371","12.60","12.54","27.6","8.0 m -   18 m","bK19F01X"
"(2019 FP1)","2019-Mar-25 13:51 ±    00:01","6.73 | 0.01730","6.68 | 0.01717","13.62","13.61","26.4","14 m -   31 m","bK19F01P"
"(2019 FU2)","2019-Mar-26 00:57 ± < 00:01","10.40 | 0.02673","10.39 | 0.02671","4.54","4.52","25.9","18 m -   39 m","bK19F02U"
"(2019 FU1)","2019-Mar-26 08:26 ± < 00:01","2.01 | 0.00517","2.00 | 0.00513","19.98","19.96","27.4","8.8 m -   20 m","bK19F01U"
"(2019 FK1)","2019-Mar-26 16:48 ± < 00:01","8.25 | 0.02119","8.22 | 0.02113","9.15","9.14","25.2","24 m -   54 m","bK19F01K"
"(2019 EN)","2019-Mar-27 01:27 ± < 00:01","9.69 | 0.02489","9.69 | 0.02489","15.24","15.24","21.2","150 m -  340 m","bK19E00N"
"(2019 GJ)","2019-Mar-27 01:36 ± < 00:01","17.53 | 0.04505","17.52 | 0.04502","7.00","6.99","24.3","37 m -   82 m","bK19G00J"
"(1999 TT16)","2019-Mar-27 03:15 ± < 00:01","11.96 | 0.03074","11.96 | 0.03074","16.17","16.16","19.8","290 m -  650 m","bJ99T16T"
"(2019 GS2)","2019-Mar-27 16:57 ±    00:02","8.37 | 0.02152","8.32 | 0.02139","9.33","9.32","27.4","8.8 m -   20 m","bK19G02S"
"(2019 FA2)","2019-Mar-27 17:01 ± < 00:01","2.91 | 0.00747","2.89 | 0.00743","20.64","20.62","26.1","16 m -   36 m","bK19F02A"
"(2019 FC1)","2019-Mar-28 05:46 ± < 00:01","0.27 | 0.00069","0.27 | 0.00069","25.92","25.77","25.6","20 m -   45 m","bK19F01C"
