"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2018 GY)","2020-Mar-15 13:29 ± 5_03:46","6.20 | 0.01594","3.64 | 0.00937","9.51","9.49","24.8","29 m -   65 m","bK18G00Y"
"(2020 DP4)","2020-Mar-22 19:36 ±    00:29","3.51 | 0.00901","3.48 | 0.00895","8.09","8.05","25.2","25 m -   55 m","bK20D04P"
"(2019 GM1)","2020-Apr-02 14:35 ±    02:33","8.93 | 0.02294","8.57 | 0.02203","4.17","4.14","27.0","11 m -   24 m","bK19G01M"
"(2019 HM)","2020-Apr-10 08:53 ± < 00:01","7.22 | 0.01856","7.22 | 0.01856","3.17","3.13","25.9","18 m -   39 m","bK19H00M"
"438908 (2009 XO)","2020-May-07 12:18 ± < 00:01","8.83 | 0.02268","8.83 | 0.02268","12.78","12.77","20.5","210 m -  470 m","a0438908"
"(2016 HP6)","2020-May-07 21:49 ± < 00:01","4.33 | 0.01112","4.33 | 0.01112","5.72","5.68","25.3","23 m -   52 m","bK16H06P"
"388945 (2008 TZ3)","2020-May-10 14:17 ± < 00:01","7.27 | 0.01867","7.27 | 0.01867","8.78","8.76","20.4","220 m -  490 m","a0388945"
"(2000 KA)","2020-May-12 11:20 ± < 00:01","8.84 | 0.02271","8.84 | 0.02271","13.50","13.49","21.7","120 m -  270 m","bK00K00A"
"478784 (2012 UV136)","2020-May-15 13:56 ± < 00:01","8.46 | 0.02173","8.46 | 0.02173","3.57","3.53","25.5","21 m -   47 m","a0478784"
"(2017 MF7)","2020-Jun-14 13:10 ± 4_10:36","3.68 | 0.00945","0.91 | 0.00234","10.92","10.90","25.9","18 m -   39 m","bK17M07F"
"441987 (2010 NY65)","2020-Jun-24 06:44 ± < 00:01","9.78 | 0.02512","9.78 | 0.02512","12.89","12.88","21.4","140 m -  310 m","a0441987"
"(2017 FW128)","2020-Jun-25 14:43 ± 5_16:53","6.83 | 0.01756","3.19 | 0.00819","5.45","5.42","27.5","8.4 m -   19 m","bK17FC8W"
"(2016 DY30)","2020-Jul-19 05:32 ± 1_12:59","8.97 | 0.02306","1.99 | 0.00511","15.09","15.08","30.5","2.1 m -  4.7 m","bK16D30Y"
